Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  8.64     49.02    49.02  1161704     0.00     0.00  txs_integer_sort_
  8.36     96.48    47.46  9337166     0.00     0.00  tracij_2_
  7.56    139.39    42.91 917439108     0.00     0.00  ft05_
  6.65    177.11    37.72 360753841     0.00     0.00  precspec_2_
  6.45    213.71    36.60                             __intel_ssse3_rep_memcpy
  5.90    247.20    33.49 142290050     0.00     0.00  recur1_
  5.06    275.92    28.72 2008775446     0.00     0.00  ft0_
  5.02    304.39    28.47  9528104     0.00     0.00  conbuf2_
  4.49    329.85    25.46  9528104     0.00     0.00  xwpq_2_
  4.28    354.11    24.26   520143     0.00     0.00  fock_2e_rep_1_label_
  4.13    377.52    23.41 1878760256     0.00     0.00  fm_
  4.00    400.23    22.71  1941905     0.00     0.00  destbul_
  3.81    421.87    21.64 160775862     0.00     0.00  specase_2_
  3.14    439.67    17.80  9832562     0.00     0.00  prec4neg_2_
  2.02    451.14    11.47 16289577     0.00     0.00  conv1x_2_
  1.96    462.26    11.12  7767620     0.00     0.00  precal2x_2_
  1.94    473.26    11.00  9528104     0.00     0.00  ssssm_
  1.46    481.54     8.28 399868953     0.00     0.00  seartch_4_uniqe_
  1.38    489.36     7.82 63157202     0.00     0.00  recur2_2_
  0.95    494.76     5.40                             exp.L
  0.87    499.72     4.96  1519532     0.00     0.00  erintsp_2_
  0.82    504.39     4.67  1481916     0.00     0.00  swap_shells_
  0.81    508.98     4.59  3883810     0.00     0.00  ab_prim_2_
  0.78    513.40     4.42       46     0.10    11.23  scf_dens_reorder_
  0.63    516.98     3.58  1941905     0.00     0.00  map_2_uniq_
  0.59    520.35     3.37  1941905     0.00     0.00  doquarts_
  0.57    523.60     3.25                             __svml_exp4_e9
  0.56    526.78     3.18  6851062     0.00     0.00  do_tmp1_
  0.45    529.32     2.54  1941905     0.00     0.00  check_out_
  0.43    531.74     2.42 549449385     0.00     0.00  get_ij_half_
  0.43    534.16     2.42  1941905     0.00     0.00  indexp_pnl_
  0.39    536.40     2.24  1941905     0.00     0.00  block1_pnl_
  0.39    538.59     2.19   508607     0.00     0.00  check_in_
  0.31    540.35     1.76  1589716     0.00     0.00  txs_pnl_
  0.31    542.10     1.75 488817711     0.00     0.00  getmem_
  0.29    543.77     1.67  1941905     0.00     0.00  get_nbls_n0_
  0.28    545.34     1.57  9546490     0.00     0.00  trackl_2_
  0.27    546.90     1.56  3703792     0.00     0.00  horiz12_
  0.26    548.36     1.46  9528104     0.00     0.00  obasai_2_
  0.24    549.74     1.38                             for_cpstr
  0.22    551.00     1.26  6851062     0.00     0.00  do_uniq_
  0.20    552.16     1.16  1994646     0.00     0.00  dosupblk_
  0.19    553.25     1.09                             _intel_fast_memcmp
  0.17    554.22     0.97   185075     0.00     0.00  zerout_
  0.15    555.07     0.85  1941905     0.00     0.00  num_stability_2_
  0.14    555.86     0.79   293271     0.00     0.00  convr3_
  0.12    556.52     0.66   422373     0.00     0.00  erintsp_1_
  0.11    557.17     0.65  1786176     0.00     0.00  get_max_const_
  0.10    557.76     0.59        1     0.59     0.59  new_old_
  0.09    558.26     0.50 201741949     0.00     0.00  retmem_
  0.08    558.74     0.48  1481916     0.00     0.00  supblks_split_
  0.07    559.12     0.38  9528104     0.00     0.00  trobsa_2_
  0.07    559.50     0.38                             exp
  0.06    559.86     0.36  8095653     0.00     0.00  wt2wt1_
  0.06    560.21     0.35    60686     0.00     0.00  intb_init4c_
  0.06    560.55     0.34  1481916     0.00     0.00  blk_capab_
  0.06    560.87     0.32    89568     0.00     0.00  ft01_
  0.05    561.17     0.30  9528104     0.00     0.00  assemblx_
  0.05    561.46     0.29  8010759     0.00     0.00  trac12_2_
  0.05    561.73     0.27   293271     0.00     0.00  shift0l_
  0.04    561.98     0.25                             __intel_new_memset
  0.04    562.21     0.23                             for_cpstr_le
  0.04    562.42     0.21 126858587     0.00     0.00  txs_second_
  0.03    562.61     0.19  1481916     0.00     0.00  supblks_point_
  0.03    562.80     0.19                             txs_error_
  0.03    562.97     0.17                             dxpy_
  0.03    563.12     0.15  1991454     0.00     0.00  blockint_
  0.02    563.25     0.13  1941905     0.00     0.00  precalc2_2_
  0.02    563.37     0.12   422373     0.00     0.00  precal2c_2_
  0.02    563.49     0.12    30000     0.00     0.00  hnd_stvint1_
  0.02    563.61     0.12                             log10.L
  0.02    563.72     0.11 38316708     0.00     0.00  amtfer_
  0.02    563.83     0.11  1941905     0.00     0.00  memo4a_
  0.02    563.94     0.11   422373     0.00     0.00  make_indxx_
  0.02    564.04     0.10 50696698     0.00     0.00  memo1_int_
  0.02    564.14     0.10 37301391     0.00     0.00  doblock2_
  0.02    564.24     0.10  9528104     0.00     0.00  abcd_2_
  0.02    564.34     0.10  7767755     0.00     0.00  get_ics_jcs_
  0.02    564.44     0.10   233254     0.00     0.00  setnot_
  0.02    564.54     0.10    48179     0.00     0.00  zerosp_
  0.02    564.64     0.10                             __intel_ssse3_memcpy
  0.02    564.73     0.09  9528104     0.00     0.00  how_2_shift_
  0.02    564.82     0.09  5494709     0.00     0.00  get_ij_full_
  0.02    564.91     0.09  1941905     0.00     0.00  retmark_
  0.02    565.00     0.09  1941905     0.00     0.00  txs_shells_
  0.02    565.09     0.09  1941373     0.00     0.00  texas_hf2_m2_
  0.02    565.18     0.09                             tbk_trace_stack
  0.01    565.26     0.08                             __svml_exp4_l9
  0.01    565.33     0.07  1941373     0.00     0.00  texas_hf2_m_
  0.01    565.40     0.07  1481916     0.00     0.00  request_split_
  0.01    565.47     0.07  1422272     0.00     0.00  int_l2e4c_
  0.01    565.53     0.06  1941905     0.00     0.00  iobara_
  0.01    565.59     0.06  1481916     0.00     0.00  txs_setup_
  0.01    565.65     0.06                             __svml_exp2_dispatch_table_init
  0.01    565.70     0.05  7820361     0.00     0.00  get_nbls_pnl_
  0.01    565.75     0.05  5919598     0.00     0.00  bas_continfo_
  0.01    565.80     0.05  4282622     0.00     0.00  cando_txs_
  0.01    565.85     0.05  2569480     0.00     0.00  hnd_sxyz_
  0.01    565.90     0.05  1991454     0.00     0.00  calcint2_
  0.01    565.95     0.05  1941905     0.00     0.00  blockin4_
  0.01    566.00     0.05  1941905     0.00     0.00  make_map2uniq_
  0.01    566.05     0.05  1941905     0.00     0.00  memo5b_2_
  0.01    566.10     0.05  1941373     0.00     0.00  mul_quart_
  0.01    566.15     0.05   422373     0.00     0.00  amshift_
  0.01    566.20     0.05    60709     0.00     0.01  fock_rep_txs_
  0.01    566.25     0.05     1042     0.00     0.34  intb_nw_2e4c_
  0.01    566.30     0.05                             __svml_exp4_mask_e9
  0.01    566.35     0.05                             copy_unstable_3_
  0.01    566.40     0.05                             iobarb_
  0.01    566.45     0.05                             trobsa_1_
  0.01    566.49     0.04  1941905     0.00     0.00  memo5a_2_
  0.01    566.53     0.04   233254     0.00     0.00  zeroint_
  0.01    566.57     0.04                             destbuf_
  0.01    566.61     0.04                             mh2ad
  0.01    566.65     0.04                             specase_1_
  0.01    566.69     0.04  1482272     0.00     0.00  int_nint_cart_
  0.01    566.72     0.04  1040890     0.00     0.00  util_print_
  0.01    566.75     0.03  7409580     0.00     0.00  tfer_i_
  0.01    566.78     0.03  3425531     0.00     0.00  uniq_pairs_1_
  0.01    566.81     0.03  1941905     0.00     0.00  get_nparts_
  0.01    566.84     0.03   520143     0.00     0.00  fock_2e_rep_label_
  0.01    566.87     0.03   520143     0.00     0.00  intb_2e4c_
  0.01    566.90     0.03       25     0.00     0.00  dlaebz2_
  0.00    566.92     0.02  1941905     0.00     0.00  prec2ij_
  0.00    566.94     0.02  1481916     0.00     0.00  memstat_pnl_
  0.00    566.96     0.02  1481916     0.00     0.00  request_update_
  0.00    566.98     0.02  1481916     0.00     0.00  switch_scr_
  0.00    567.00     0.02   929200     0.00     0.00  hnd_rt123_
  0.00    567.02     0.02   844746     0.00     0.00  precal2b_2_
  0.00    567.04     0.02   642297     0.00     0.00  diagonx_
  0.00    567.06     0.02   422373     0.00     0.00  memo4b_
  0.00    567.08     0.02                             abcd_1_
  0.00    567.10     0.02                             pnga_locate_region
  0.00    567.12     0.02                             shift3l_
  0.00    567.13     0.01  6851062     0.00     0.00  find_uniq_2_
  0.00    567.14     0.01  5573302     0.00     0.00  getmem_zero_
  0.00    567.15     0.01  3883810     0.00     0.00  dimenij_
  0.00    567.16     0.01  1941905     0.00     0.00  memo2_
  0.00    567.17     0.01  1941905     0.00     0.00  memo3_
  0.00    567.18     0.01  1941905     0.00     0.00  mmark_
  0.00    567.19     0.01  1941905     0.00     0.00  prec2kl_
  0.00    567.20     0.01  1941373     0.00     0.00  labels_update_
  0.00    567.21     0.01   508607     0.00     0.00  copy_block_
  0.00    567.22     0.01   223950     0.00     0.00  comp4_extract_
  0.00    567.23     0.01    60001     0.00     0.00  geom_any_finuc_
  0.00    567.24     0.01    39536     0.00     0.00  inp_strlen_
  0.00    567.25     0.01    17100     0.00     0.00  dfill_
  0.00    567.26     0.01     5010     0.00     0.00  hferi_
  0.00    567.27     0.01     5010     0.00     0.00  hfmkr_
  0.00    567.28     0.01     5010     0.00     0.00  igamma_
  0.00    567.29     0.01      139     0.00     0.00  ga_maxelt_dbl_doit_
  0.00    567.30     0.01       78     0.00     0.00  ifill_
  0.00    567.31     0.01       46     0.00     0.00  fock_pair_sort_
  0.00    567.32     0.01        1     0.01     0.01  datlog_
  0.00    567.33     0.01        1     0.01     0.01  fprep_
  0.00    567.34     0.01        1     0.01     0.62  texas_init_
  0.00    567.35     0.01                             MA_push_get
  0.00    567.36     0.01                             __svml_log104_e9
  0.00    567.37     0.01                             expf
  0.00    567.38     0.01                             fock_2e_mod_4_label_
  0.00    567.39     0.01                             horiz34_der1_
  0.00    567.40     0.01                             in4a_
  0.00    567.41     0.01                             llround
  0.00    567.42     0.01                             log10
  0.00    567.43     0.01                             ma_table_allocate
  0.00    567.44     0.01                             ncshl_update_
  0.00    567.45     0.01                             ngai_put_common
  0.00    567.46     0.01                             precal2a_2_
  0.00    567.47     0.01                             shift4l_
  0.00    567.48     0.01                             bd_printcommon_
  0.00    567.48     0.01                             int_unint_
  0.00    567.48     0.00  6152904     0.00     0.00  bas_check_handle_
